Company Name,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions
Aryan Fine Fab Ltd.,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,1.2,,,,,,0.8,3.64,3.26,6/30/1991,1,3.18,2.83,6.24,6.24,3.62,0.92,,,0.53,0.86,0.58,2.41,7.06,3.26,6/30/1992,9.91,4.88,4.39,16.46,16.46,6.82,0.71,,,1.61,2.17,1.2,6.99,20.22,5.5,12/31/1993,14.34,16.77,15.65,31.32,31.32,19.72,0.57,,,4.58,5.95,2.77,19.25,24.1,10.12,12/31/1994,14.6,21.59,20.07,50.32,50.32,23.56,0.57,,,3.5,4.81,3.71,32.4,42.23,13.21,12/31/1995,14.84,40.39,36.98,57.08,57.08,41.67,0.57,-0.11,-2.82,2.81,4.1,3.61,30.87,62.75,13.29,3/31/1997,19.57,63.26,54.91,59.1,59.1,62.44,0.5,-2.09,2.18,0.29,0.29,1.53,27.99,48.98,13.29,3/31/1998,17.02,52.73,46.91,64.39,64.39,48.9,0.42,-7.75,2.42,-2.88,-2.88,2.08,9.3,23.13,13.29,3/31/1999,1.41,34.28,25.61,52.25,52.25,23.08,0.35,-3.1,0.91,-18.69,-18.69,3.72
Asian Cables & Inds. Ltd. [Merged],,,,,,,,,,,6.56,,,,,,,,,,,,,,,,6.56,,,,,,13.52,69.01,5.59,3/31/1989,9.28,66.15,59.58,59.63,59.63,67.9,6.07,,,2.19,3.22,8.5,15.16,82.69,5.59,3/31/1990,9.56,78.41,70.41,80.84,80.84,80.96,5.74,,,2.34,3.48,10.74,16.73,98.37,5.59,3/31/1991,12.99,96.5,85.82,99.84,99.84,95.97,5.74,,,2.55,3.81,22.29,17.04,97.57,5.59,3/31/1992,14.99,96.51,83.47,104.64,104.64,95.45,6.56,,,0.66,1.92,19.91,17.73,101.59,5.59,3/31/1993,16.69,101.17,85.62,123.48,123.48,98.25,6.4,,,0.99,2.36,25.17,47.58,115.12,15.64,3/31/1994,34.32,113.45,96.4,178.78,178.78,108.62,6.4,,,0.36,3.08,31.58,56.68,144.87,16.4,3/31/1995,56.75,146.42,123.44,180.58,180.58,116.82,5.74,15.89,-3.96,1.59,4.87,28.39,58.74,176.6,16.4,3/31/1996,36.19,166.1,137.29,208.23,208.23,161.07,4.92,-6.1,5.81,2.31,5.92,31.39
Automobile Products Of India Ltd.,-14.13,3.11,0.48,3/31/2012,-0.53,3.41,2.47,0.31,0.31,2.1,2.81,1.5,-1.73,-0.3,-0.3,0.71,-14.69,0.56,0.48,3/31/2013,-0.34,1.12,1.02,0.33,0.33,0.55,2.81,,-0.73,-0.56,-0.56,0.53,-14.63,3.88,0.48,3/31/2014,-8.49,3.82,3.72,3.71,3.71,3.79,2.81,-0.07,-0.42,0.06,0.06,10.94,-14.59,2.06,0.48,3/31/2015,-14.38,2.19,1.98,2.2,2.2,2.06,2.81,,5.31,0.04,0.04,15.31,-14.41,2.73,0.48,3/31/2016,-14.76,2.43,1.71,2.26,2.26,2.72,2.53,-0.01,1.28,0.18,0.18,15.64,-13.78,4.44,0.48,3/31/2017,-8.4,4.42,3.71,4.3,4.3,4.43,1.9,,-5.41,0.02,0.02,10.89,-15.11,2.13,0.48,3/31/2018,-8.91,3.42,2.51,2.46,2.46,2.12,1.43,,-0.17,-1.34,-1.34,9.64,-15.54,1.22,0.48,3/31/2019,-14.57,1.65,0.75,8.38,8.38,0.44,1.25,0.04,-0.22,-0.43,-0.43,14.92,-4.58,16.65,0.48,3/31/2020,-1.61,5.69,0.57,15.37,15.37,0.18,1.25,16.57,-16.4,10.96,10.96,1.85,-9.53,0.53,0.48,3/31/2021,-0.43,5.47,0.55,10.31,10.31,0.17,1.4,0.36,-0.73,-4.94,-4.94,8.66
B P L Engineering Ltd.,93.55,119.12,25.79,3/31/1998,43.22,117.51,95.89,243.16,243.16,115.16,26.34,-14.08,17.78,5.12,5.12,26.46,96.34,148.84,25.79,3/31/1999,49.96,146.3,125.07,258.47,258.47,145.85,24.13,-14.09,16.5,2.8,5.65,32.31,99.82,185.05,25.79,3/31/2000,62.75,178.67,156.6,283.63,283.63,182.88,24.02,-16.07,26.08,3.48,6.65,47.77,103.66,194.37,25.79,3/31/2001,10.39,192.31,165.01,294.67,294.67,192.23,23.61,-6.02,18.62,3.84,6.68,52.9,90.98,170.09,25.79,3/31/2002,14.8,180.75,132.92,277.9,277.9,164.99,23.12,-14.08,34.93,-12.67,-12.67,53.52,23.61,159.89,25.79,3/31/2003,-6.72,205.64,131.96,251.15,251.15,153.8,24.46,1.55,10.94,-44.92,-44.92,52.54,5.01,134.24,25.79,3/31/2004,6.53,149.12,116.67,223.24,223.24,125.25,23.18,-1.44,14.02,-18.6,-18.6,41.38,-3.84,81.38,25.69,3/31/2005,8.89,89.98,89.86,232.96,232.96,79.11,23.66,0.31,-7.41,-8.85,-8.85,40.59,-45.83,113.95,25.69,9/30/2006,6.39,155.58,119.46,190.49,190.49,109.96,23.38,1.88,-2.52,-41.99,-41.99,28.01,-170.76,41.09,25.69,3/31/2008,-7.88,130.16,49.15,94.87,94.87,39.61,23.3,1.1,-3.14,-91.76,-91.76,58.95
B S Refrigerators Ltd.,87.52,211.23,29.64,3/31/1996,-8.05,215.01,196.18,267.84,267.84,210.48,9.94,-35.37,2.78,4.67,10.11,54.61,89.44,236.55,29.64,3/31/1997,5.4,253.63,226.97,300.11,300.11,235.39,11.9,-22.36,19.12,1.92,5.18,59.25,47.95,268.72,29.64,9/30/1998,-4.26,279.85,222.13,266.71,266.71,267.71,11.83,-13.24,34.1,-41.49,-41.49,41.96,36.32,73.29,29.64,3/31/1999,1.97,77.4,58.86,253.4,253.4,72.74,9.94,0,16.01,-11.62,-11.62,41.38,24.33,125.74,29.64,3/31/2000,-11.79,135.44,104.06,292.36,292.36,125.05,11.12,-9.38,-10.06,-12,-12,50.77,37.08,169.71,29.64,9/30/2001,-40.07,199.64,146.65,331.46,331.46,169.29,11.08,-40.24,60.96,-31.49,-31.49,63.83,-78.21,106.38,29.64,3/31/2003,-156.31,211.67,116.4,360.61,360.61,106.26,10.48,-45.79,36.81,-114.26,-114.26,161.9,-160.5,38.72,29.64,3/31/2004,-189.44,116.6,44.34,289.33,289.33,38.53,10.1,-0.03,5.17,-80.3,-80.3,169.98,-214.76,26.81,31.44,3/31/2005,-200.08,79.13,4.99,257.39,257.39,2.46,9.83,0.16,-1.88,-52.28,-52.28,175.34,-253.91,2.43,24.39,3/31/2006,-200.63,39.49,2.54,236.3,236.3,2.19,9.46,0.02,0,-37.15,-37.15,176.21
Banco Products (India) Ltd.,302.29,629.77,14.3,3/31/2012,35.66,554.47,508.34,507.96,507.96,599.13,1210.1,2.54,31.35,51.73,72.51,136.16,322.45,493.88,14.3,3/31/2013,16.1,464.92,423.29,561.38,561.38,484.27,1212.24,-84.4,81.3,19.79,34.85,173.44,376,518.14,14.3,3/31/2014,34.9,445.22,398.43,569.62,569.62,482.59,1208.31,-2.59,88.71,53.62,68.3,145.85,394.72,468.55,14.3,3/31/2015,106.25,432.11,398.71,502.71,502.71,456.24,1176.12,62.84,61.2,19.15,42.04,75.77,439.7,567.81,14.3,3/31/2016,171.31,486.34,444.78,556.91,556.91,536.24,1185.06,30.82,58.99,44.84,82.13,89.95,540.39,618.58,14.3,3/31/2017,248.39,517.61,472.85,629.76,629.76,557.37,1187.21,-30.58,58.14,40.48,109.61,59.61,601.08,701.35,14.3,3/31/2018,280.13,579.38,535.24,752.94,752.94,631.26,1148.59,35.39,23.75,60.92,119.72,121.72,649.22,828.67,14.3,3/31/2019,347.06,713.16,641.02,766.14,766.14,735.92,1140.72,32.54,46.63,44.87,122.91,83.28,520.53,644.88,14.3,3/31/2020,245.19,565.85,515,621.55,621.55,597.91,1106.39,182.12,59.05,-124.33,69.52,67.11,600.9,665.94,14.3,3/31/2021,336.21,586.08,537.37,736.29,736.29,653.52,1174.69,-37.71,59.31,80.04,80.04,103.59
Beacon Software Systems Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.03,2.19,1.6,3/31/2002,0.38,3.15,2.83,2.31,2.31,2.16,,,,-0.96,-0.96,0.93,-3.96,0.59,1.84,3/31/2003,-1,3.52,3.19,0.96,0.96,0.56,,,,-2.93,-2.93,1.19,-4.27,1.22,2.33,3/31/2005,-0.11,1.23,0.64,0.45,0.45,0.3,,-0.03,-0.36,-0.01,-0.01,0.3,-4.43,0.46,2.33,3/31/2006,-0.23,0.61,0.51,0.41,0.41,0.45,,-0.04,0.02,-0.15,-0.15,0.42,-4.53,0.63,2.33,3/31/2007,-0.11,0.73,0.53,0.3,0.3,0.58,,-0.01,0.03,-0.1,-0.1,0.38,-4.63,0.78,2.33,3/31/2008,-0.02,0.88,0.71,0.46,0.46,0.78,,-0.2,-0.19,-0.1,-0.1,0.28
Beta Naphthol Ltd.,,,,,,,,,,,11.49,,,,,,2.59,18.3,0.56,3/31/1992,2,16.75,13.73,20.81,20.81,18.14,12.18,,,0.23,0.34,2.32,3.67,26.1,5.5,3/31/1993,6.55,27.58,24.26,26.23,26.23,26.04,12.1,,,0.33,1,3.32,8.91,35.72,5.84,3/31/1994,10.22,30.05,27.21,28.9,28.9,35.72,12.96,,,3.88,6.08,5.11,14.48,52.65,5.84,3/31/1995,10.35,44.91,41.37,55.74,55.74,52.62,14.52,-8.02,0.79,5.57,7.9,10.25,31.54,72.71,12.46,3/31/1996,20.01,65.21,57.87,122.68,122.68,72.71,13.91,-35.88,-4.16,5.72,8.02,12.93,42.2,117.71,16.68,9/30/1997,-4.69,133.57,107.36,137.91,137.91,116.41,12.1,-42.03,28.84,-15.8,-15.8,15.4,-26.97,38.91,16.68,6/30/1998,-41.93,103.27,59.09,94,94,38.91,12.1,-4.91,-6.11,-69.17,-69.17,19.09,-67.21,3.77,16.68,3/31/1999,-58.63,43.34,11.83,72.37,72.37,3.77,12.1,0.03,1.1,-40.23,-40.23,27.66,-92.17,1.38,17.28,3/31/2000,-92.93,26.31,9.7,78.63,78.63,1.38,11.49,0.01,12.82,-25,-25,46.41
C F L Capital Financial Services Ltd.,-375.22,10.44,138.63,3/31/2006,-151.76,22.47,2.39,116.07,116.07,0.54,17.19,1.96,1.41,-12.03,-12.03,115.29,-354.48,15.3,138.63,3/31/2007,-148.81,12.88,2.39,107.15,107.15,0.08,18.03,2.98,9.94,2.42,2.42,115.38,-360.14,23.99,138.63,3/31/2008,-181.6,29.71,2.36,85.46,85.46,0.08,18.86,3.66,13.99,-5.72,-5.72,97.83,-367.19,5.88,138.63,3/31/2009,-200.52,12.94,2.34,72.14,72.14,0.07,18.03,0.33,2.64,-7.06,-7.06,93.13,-374.85,3.65,138.63,3/31/2010,2.53,11.54,2.43,68.54,68.54,0.06,18.03,1.94,4.62,-7.89,-7.89,96.7,-384.92,8.62,138.63,3/31/2011,-191.94,18.69,2.58,48.47,48.47,0.06,17.19,1.39,11.93,-10.07,-10.07,259.84,-553.52,4.15,138.66,3/31/2012,-367.94,172.79,2.51,46.93,46.93,0.05,16.36,4.19,172.67,-168.64,-168.64,436.65,-602.77,1.71,138.66,3/31/2013,-416.23,50.96,2.68,43.54,43.54,0.04,15.81,2.01,37.61,-49.25,-49.25,482.52,-659.93,23.06,138.66,3/31/2014,-491.36,80.22,1.83,23.28,23.28,0.04,16.5,0.92,51.88,-57.16,-57.16,519.44,-725.36,3.42,138.66,3/31/2015,-556.92,68.84,1.96,20.83,20.83,0.04,17.05,-0.36,65.63,-65.42,-65.42,582.44
Chem-Edge International Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,901.43,25,3/31/2011,79.55,899.05,896.97,178.87,178.87,901.43,,-1.43,-49.79,2.38,2.38,96.53,12.58,773.99,70,3/31/2012,144.72,763.9,744.9,385.3,385.3,773.99,,4.66,-39.2,10.09,10.09,236.48,25.58,1031.77,87.75,3/31/2013,199.44,1018.77,995.15,453.33,453.33,1031.77,,2.18,-76.7,13,13,248.56,43.16,1684.05,100,3/31/2014,234.28,1626.08,1585.54,614.65,614.65,1681.56,,2.43,-131.75,17.59,17.59,372.73,47.97,1948.49,100,3/31/2015,240.71,1906.99,1869.11,630.87,630.87,1947.41,,-4.05,7.53,4.92,4.92,380.64
Cheviot International Ltd.,23.12,21.71,0.72,3/31/2009,20.49,19.31,16.7,30.84,30.84,19.82,,1.5,2.72,1.12,1.96,6.99,26.87,22.43,0.72,3/31/2010,23.33,17.99,16,30.61,30.61,19.24,,2.42,1.22,3.75,4.59,3.01,29.86,24.38,0.72,3/31/2011,11.83,20.07,18.77,33.16,33.16,19.96,,0.25,-2.78,2.99,4.25,1.71,32.97,29.24,0.72,3/31/2012,17.91,24.71,22.35,36.37,36.37,27.03,,3.35,-1.75,3.11,4.37,1.64,45.02,32.05,0.72,3/31/2016,17.36,27.57,25.33,47.62,47.62,29.55,,,,2.52,4.25,1.22,47.74,28.76,0.72,3/31/2017,18.77,26.32,25.29,50.71,50.71,27.02,,0.48,-1.42,2.73,2.73,1.57,57.69,35.2,0.72,3/31/2018,12.48,24.82,23.05,59.74,59.74,26.09,,-3.39,4.17,9.95,9.95,1.13,61.62,16.57,0.72,3/31/2019,14.46,12.63,11.73,63.26,63.26,12.41,,-0.5,0.18,3.93,3.93,0.77,62.26,17.04,0.72,3/31/2020,12.55,16.22,13.64,64.91,64.91,13.53,,1.6,-1.07,0.61,0.61,1.81,63.75,3.99,0.72,3/31/2021,28.27,2.4,1.47,64.86,64.86,0.48,,,,1.49,1.49,0.39
Clarisis Organics Ltd.,1.71,24.05,10.35,3/31/1997,3.03,24.76,22.45,26.55,26.55,23.92,1.29,-1.74,1.65,0.26,0.26,5.11,2.28,35.96,10.35,3/31/1998,3.31,35.16,32.65,29.77,29.77,35.95,1.55,-1.21,2.52,0.57,0.57,7.13,-1.09,25.91,10.35,3/31/1999,0.48,29.63,26.67,26.73,26.73,25.9,1.24,-0.76,1.23,-3.37,-3.37,6.73,-2.79,29.76,10.35,3/31/2000,-1.38,31.51,28.71,27.13,27.13,29.43,1.24,-0.34,2.45,-1.7,-1.7,9.39,-4.41,35.1,10.35,3/31/2001,-1.1,35.39,32.36,25.56,25.56,34.97,1.24,-0.63,2.16,-1.62,-1.62,9.15,-7.27,16.55,10.35,3/31/2002,-3.73,18.19,15.94,18.7,18.7,16.12,0.98,-0.25,-1.25,-3.03,-3.03,3.6,-7.92,10.78,10.35,3/31/2003,-3.64,11.52,10.24,15.51,15.51,10.78,0.78,-0.2,1.66,-0.66,-0.66,3,-10.24,5.3,10.35,3/31/2004,-3.53,8.39,5.68,15.78,15.78,5.24,0.78,-0.3,0.7,-2.32,-2.32,3.37,-13.21,7.24,10.35,9/30/2005,-6.01,8.39,6.54,12.13,12.13,7.22,0.93,0.12,2.69,-2.24,-2.24,4.58,-14.99,7.68,10.35,9/30/2006,-9.01,9.16,6.5,10.22,10.22,7.07,0.72,-0.11,2.52,-1.78,-1.78,6.23
Conway Printers Ltd.,,,,,,,,,,,0.82,,,,,,0.37,5.34,0.5,3/31/1990,0.29,5.64,4.49,7.44,7.44,4.86,0.82,,,-0.29,-0.29,0.93,0.44,6.53,1,3/31/1991,0.79,6.43,5.17,7.22,7.22,6.46,0.82,,,0.07,0.07,0.88,0.84,7.09,1,3/31/1992,1.07,6.86,5.64,7.54,7.54,7.07,0.82,,,0.4,0.4,1.13,4.39,7.93,1,3/31/1993,0.18,7.67,6.47,11.66,11.66,7.88,0.86,,,0.28,0.38,2.56,4.77,9.24,1,3/31/1994,-0.52,8.45,7.33,13.01,13.01,9.09,0.9,,,0.68,0.8,3.8,10.48,10.79,4.09,3/31/1995,4.26,9.23,7.81,22.93,22.93,10.43,1.07,-6.96,-0.32,0.92,1.4,2.97,10.83,16.3,4.09,3/31/1996,1.42,15.28,13.6,26.95,26.95,16.18,1.01,-1.71,2.46,0.58,1.32,6.6,9.36,12.79,4.09,3/31/1997,-0.01,14.44,12.55,23.76,23.76,12.2,1.13,-0.39,1.1,-1.25,-1.25,4.22,6.13,10.76,4.09,3/31/1998,-1.35,13.29,11.31,24.35,24.35,10.69,0.86,-2.53,0.68,-3.03,-3.03,5.22
Crown Television Ltd.,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,0.66,,,,,,13.58,78.69,0.4,3/31/1991,6.54,78.53,76.06,41.77,41.77,77.04,0.58,,,1.87,1.95,16.46,13.15,75.03,0.5,3/31/1992,5.5,74.46,69.79,44.79,44.79,73.93,0.61,,,-0.73,-0.6,20.23,19.12,104.2,5.28,3/31/1994,14.24,103.67,100.09,54.05,54.05,104.05,0.58,,,1.75,2.54,22.93,20.12,94.06,5.28,3/31/1995,11.22,91.71,88.12,56.85,56.85,93.4,0.53,-1.5,1.02,1,1.79,23.2,13.15,92.67,5.28,3/31/1996,5.33,98.34,95.43,54.99,54.99,92.29,0.42,-0.41,2.18,-6.97,-6.97,27.65
D C M International Ltd.,-4.08,1.52,16.75,3/31/2003,9.23,1.88,1.78,15.49,15.49,0.91,,,,-0.36,-0.36,2.82,-4.3,2.09,16.75,3/31/2005,7.35,2.48,2.07,17.73,17.73,1.63,,,,-0.39,-0.39,5.28,-0.01,,1.68,3/31/2006,-0.05,,,1.72,1.72,,,,,,,0.05,0.23,0.28,1.68,3/31/2007,1.33,0.05,0.03,4.29,4.29,0.25,,,,0.23,0.23,0.04,0.22,0.01,6.18,3/31/2008,-0.58,0.01,-0.19,18.9,18.9,,,,,0,0,0.86,0.24,0.03,6.18,3/31/2009,-1.11,0.02,-0.02,27.41,27.41,,,-8.88,0.04,0.01,0.01,1.21,-0.47,2.88,7.58,3/31/2010,-0.77,3.59,1.04,28.39,28.39,2.88,,0.89,-0.78,-0.71,-0.71,1.04,-0.11,4.47,7.58,3/31/2011,-4.6,4.11,1.43,27.77,27.77,4.45,,,2.16,0.36,0.36,4.73,0.51,4.66,7.58,3/31/2012,1.55,4.05,1.66,32.44,32.44,4.66,,-0.01,-3.34,0.61,0.61,3.46,-0.66,1.83,7.58,3/31/2013,7.98,2.99,1.27,37.57,37.57,1.81,,-0.02,-4.9,-1.16,-1.16,2.8
D L F Universal Ltd.,550.71,226.33,44.47,3/31/2012,-1170.26,414.54,190.14,5606.6,5606.6,48.07,,-66.32,110.87,-188.21,-188.21,4170.04,461.31,746.31,54.46,3/31/2013,-400.05,1026.5,734.69,5395.74,5395.74,593.73,,1175.64,-716.7,-280.19,-280.19,4103.41,150.42,606.63,54.46,3/31/2014,-928.98,917.53,615.85,5826.49,5826.49,524.06,,-274.18,-352.22,-310.9,-310.9,4545.24,-369.59,319.8,54.55,3/31/2015,-2056.07,832.71,487.07,6352.41,6352.41,208.97,,-155.57,-130.94,-512.91,-512.91,5814.16,-53.84,12.05,0.05,3/31/2016,-134.56,24.08,14.45,94.5,94.5,10.43,,,1.82,-12.03,-12.03,145.89,-61.75,12.31,0.05,3/31/2017,-122.2,20.22,14.88,77.58,77.58,11.12,,1.58,-3.74,-7.91,-7.91,136.91,-68.07,12.42,0.05,3/31/2018,-127.68,18.75,14.03,69.21,69.21,11.51,,2.76,-0.38,-6.33,-6.33,136.96,-77.49,14.63,0.05,3/31/2019,-154.96,45.2,38.66,111.48,111.48,13.81,,-9.54,-0.98,-9.41,-9.41,188.91,-78.33,53.09,50.05,3/31/2020,-72.96,64.05,47.81,104.91,104.91,40.13,,-4.41,8.81,-0.84,-0.84,119.3,-77.4,60.26,50.05,3/31/2021,-60.22,49.82,40.99,75.33,75.33,54.84,0.05,4.56,1.84,0.92,0.92,93.52
D T D C Worldwide Express Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84,36.13,0.45,3/31/2006,4.85,33,30.19,13.06,13.06,35.43,,-0.02,1.48,3.13,3.13,6.72,1.81,8.05,0.45,6/30/2007,1.36,9.52,7.6,3.44,3.44,7.53,,0.08,0.1,-4.04,-1.47,1.13,1.69,0.66,0.45,3/31/2008,1.06,0.78,0.54,3.28,3.28,0.64,,0.01,-0.16,-0.12,-0.12,1.14,1.65,1.4,0.45,3/31/2009,0.99,1.44,1.15,3.38,3.38,1.37,,-0.18,0.27,-0.04,-0.04,1.28,1.03,0.48,0.45,3/31/2010,1.31,1.11,0.42,3.04,3.04,0.42,,0.02,-0.24,-0.63,-0.63,1.56,0.91,0.03,0.45,3/31/2011,1.55,0.15,0.05,2.91,2.91,,,0.03,-0.24,-0.12,-0.12,0.65,0.77,2.4,0.45,3/31/2012,1.66,2.54,2.42,2.81,2.81,2.23,,0.05,-0.57,-0.14,-0.14,0.74
Denim Developers Ltd.,80.44,0.15,10.61,3/31/2012,13.52,0.13,0.11,92.52,92.52,,,,,0.02,0.02,1.47,80.75,0.65,10.61,3/31/2013,81.27,0.33,0.18,107.91,107.91,,,66.73,-61.03,0.32,0.32,16.55,80.38,0.11,10.62,3/31/2014,68.95,0.96,0.53,114.37,114.37,,,-11.84,-3.5,-0.39,-0.39,23.37,79.1,0.29,10.61,3/31/2015,2.52,12.51,11.12,110.49,110.49,0.06,,-12.91,16.01,-1.26,-1.26,9.27,78.36,0.47,10.61,3/31/2016,-0.56,1.2,0.13,112.94,112.94,0.06,,-2.29,-0.16,-0.73,-0.73,12.46,68.17,1.4,10.61,3/31/2017,-17.35,1.27,0.14,108.06,108.06,,,2.08,-6.28,0.13,0.13,29.28,67.9,1.53,10.61,3/31/2018,-13.74,1.81,0.23,104.22,104.22,,,-0.91,5.85,-0.27,-0.27,25.71,76.49,2.73,10.61,3/31/2019,43.05,28.25,26.91,89.79,89.79,,,10.43,13.23,0.13,0.13,2.69,76.94,1.05,10.61,3/31/2020,42.2,1.03,0.76,90.53,90.53,0.04,,-13.38,13.36,0.5,0.5,2.98,77.12,0.5,10.61,3/31/2021,44.92,2.54,2.45,90.16,90.16,0.05,,-1.03,1.04,0.17,0.17,2.43
Dhar Cement Ltd.,,,,,,,,,,,1.42,,,,,,0.41,13.31,2.24,3/31/1989,0.3,13.41,11.42,11.9,11.9,13.28,1.33,,,-0.07,-0.07,1.71,0.46,12.01,2.24,3/31/1990,0.44,12.08,9.66,11.75,11.75,11.99,1.5,,,0.05,0.05,1.51,1.36,16,2.24,3/31/1991,0.69,15.06,12.21,13.36,13.36,15.97,1.17,,,0.9,1.33,2.13,3.72,18.36,3.61,3/31/1992,2.14,16.34,13.97,22.98,22.98,18.34,0.92,,,2.36,3.08,3.04,13.06,16.71,5.64,3/31/1993,4.46,14.96,12.45,42.07,42.07,16.51,0.83,,,1.21,1.75,2.78,13.89,14.47,5.83,3/31/1994,2.38,14.97,13.17,53.07,53.07,14.41,0.92,,,0.06,0.06,5.32,17.04,24.71,6.35,3/31/1995,-1.42,23.99,21.75,66.17,66.17,23.19,1.04,,,0.7,0.7,7.65,12.69,32.74,8.35,3/31/1996,-4.17,39.25,29.16,70.43,70.43,32.59,0.92,-3.65,3.57,-4.35,-4.35,7.92,1.53,23.73,8.35,3/31/1997,-2.2,37.12,25.32,67.64,67.64,23.64,0.83,-2.32,1.11,-11.16,-11.16,7.3
Duck Tarpaulins Ltd.,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,0.57,,,,,,0.01,0.22,0.48,3/31/1994,-0.23,0.21,0.21,0.86,0.86,0.22,0.54,,,0.01,0.01,0.29,0.1,4.49,4.35,3/31/1995,0.68,5.53,5.39,8.56,8.56,4.28,0.65,-2.84,-3.48,0.09,0.21,1.2,0.15,10.76,4.35,3/31/1996,2.51,10.53,9.81,12.33,12.33,10.66,0.74,-2.45,-0.38,0.05,0.05,1.38,-1.23,9.91,4.35,3/31/1997,1.21,11.28,9.67,11.88,11.88,9.91,0.78,-0.21,1.28,-1.38,-1.38,2.22,-4.07,6.17,4.35,3/31/1998,-1.06,8.65,6.96,10.29,10.29,6.16,0.76,-0.07,-0.15,-2.84,-2.84,1.89,-7.44,3.28,4.35,3/31/1999,-1.64,6.55,4.87,7.73,7.73,3.19,0.87,0,-0.63,-3.38,-3.38,0.74
