,Paid up equity capital (net of forfeited equity capital),Reserves and Funds,Date,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Months,Company,Equity
41,7.4,43.31,3/31/2008,244.7,241.7,189.3,189.3,48.46,7.24,239.26,11.91,-12.7,12.0,Anil Ltd.,50.71
42,7.4,48.49,3/31/2009,290.04,272.81,239.52,239.52,52.17,10.51,287.39,-7.72,-12.2,12.0,Anil Ltd.,55.89
43,9.77,83.17,3/31/2010,384.27,376.2,378.59,378.59,64.91,24.0,383.8,-34.63,-42.79,12.0,Anil Ltd.,92.94
44,9.77,121.15,3/31/2011,522.87,494.13,495.08,495.08,209.1,40.25,521.77,35.57,-68.45,12.0,Anil Ltd.,130.92000000000002
45,9.77,164.53,3/31/2012,621.88,587.36,647.16,647.16,360.22,47.12,621.17,40.71,-37.46,12.0,Anil Ltd.,174.3
46,9.77,204.55,3/31/2013,731.45,696.89,804.65,804.65,402.21,45.62,729.08,5.62,-48.42,12.0,Anil Ltd.,214.32000000000002
47,9.77,247.02,3/31/2014,850.36,809.02,964.89,964.89,459.58,48.34,848.65,28.41,-68.86,12.0,Anil Ltd.,256.79
48,9.77,292.86,3/31/2015,959.02,905.87,1094.08,1094.08,423.18,54.93,954.78,79.84,-72.66,12.0,Anil Ltd.,302.63
49,9.77,343.53,3/31/2016,1165.97,1162.95,1353.4,1353.4,480.9,55.59,1163.93,65.45,-185.6,12.0,Anil Ltd.,353.29999999999995
50,,,,,,,,,,,,,,Anusuya International Pvt. Ltd.,
51,,,,,,,,,,,,,,Anusuya International Pvt. Ltd.,
52,,,,,,,,,,,,,,Anusuya International Pvt. Ltd.,
53,,,,,,,,,,,,,,Anusuya International Pvt. Ltd.,
54,,,,,,,,,,,,,,Anusuya International Pvt. Ltd.,
55,,,,,,,,,,,,,,Anusuya International Pvt. Ltd.,
56,,,,,,,,,,,,,,Anusuya International Pvt. Ltd.,
57,0.05,0.11,3/31/2013,90.52,90.41,5.52,5.52,0.89,0.11,,-0.4,-4.1,10.0,Anusuya International Pvt. Ltd.,0.16
58,0.05,0.36,3/31/2014,253.27,253.02,21.14,21.14,1.2,0.25,253.27,0.41,-15.49,12.0,Anusuya International Pvt. Ltd.,0.41
59,0.05,0.35,3/31/2015,133.11,133.11,28.21,28.21,3.48,0.0,133.11,-0.33,-4.44,12.0,Anusuya International Pvt. Ltd.,0.39999999999999997
60,5.22,40.05,3/31/2011,139.46,130.34,108.63,108.63,39.23,9.93,139.21,,,12.0,Apex Auto Pvt. Ltd.,45.269999999999996
61,5.22,51.79,3/31/2012,180.71,171.65,168.52,168.52,67.77,12.44,180.21,,,12.0,Apex Auto Pvt. Ltd.,57.01
62,5.38,55.74,3/31/2013,189.26,197.19,196.11,196.11,70.53,0.1,188.81,15.75,-41.38,12.0,Apex Auto Pvt. Ltd.,61.120000000000005
63,5.38,46.15,3/31/2014,124.92,130.08,175.05,175.05,57.78,-10.05,124.52,22.4,-3.02,12.0,Apex Auto Pvt. Ltd.,51.53
64,5.53,38.25,3/31/2015,119.78,130.14,179.1,179.1,60.3,-9.89,119.57,7.94,-1.06,12.0,Apex Auto Pvt. Ltd.,43.78
65,5.53,27.07,3/31/2016,109.64,120.14,180.11,180.11,70.65,-11.17,109.38,9.19,-1.06,12.0,Apex Auto Pvt. Ltd.,32.6
66,5.53,55.35,3/31/2017,157.43,159.54,206.61,206.61,73.54,-1.9,157.17,30.54,-5.98,12.0,Apex Auto Pvt. Ltd.,60.88
67,5.53,59.51,3/31/2018,190.65,188.49,199.94,199.94,76.62,4.15,190.05,30.45,-0.69,12.0,Apex Auto Pvt. Ltd.,65.03999999999999
68,5.53,67.52,3/31/2019,255.19,239.54,187.18,187.18,65.87,12.58,248.38,30.06,7.33,12.0,Apex Auto Pvt. Ltd.,73.05
69,5.53,75.91,3/31/2020,184.54,176.24,188.66,188.66,55.26,6.36,184.05,23.97,-14.58,12.0,Apex Auto Pvt. Ltd.,81.44
70,0.25,0.52,3/31/2010,0.05,0.03,0.81,0.81,0.04,0.02,,-0.14,0.02,12.0,Aplaya Creations Ltd.,0.77
71,0.27,0.78,3/31/2011,0.28,0.25,1.19,1.19,0.14,0.03,0.24,0.18,-0.57,12.0,Aplaya Creations Ltd.,1.05
72,0.27,0.86,3/31/2012,0.2,0.12,1.27,1.27,0.14,0.08,0.15,0.08,-0.01,12.0,Aplaya Creations Ltd.,1.13
73,0.27,0.89,3/31/2013,0.14,0.1,6.45,6.45,0.16,0.04,,-3.02,-0.28,12.0,Aplaya Creations Ltd.,1.1600000000000001
74,14.38,7.8,3/31/2014,0.15,0.3,22.39,22.39,0.21,-0.15,,-18.56,0.4,12.0,Aplaya Creations Ltd.,22.18
75,14.38,8.08,3/31/2015,11.85,12.13,26.75,26.75,4.29,0.28,11.41,1.88,-1.87,12.0,Aplaya Creations Ltd.,22.46
76,14.38,8.17,3/31/2016,21.43,21.41,24.5,24.5,1.95,0.09,20.75,-0.27,0.49,12.0,Aplaya Creations Ltd.,22.55
77,14.38,8.2,3/31/2017,10.75,10.31,22.96,22.96,0.38,0.02,10.28,-1.62,1.49,12.0,Aplaya Creations Ltd.,22.58
78,14.38,8.22,3/31/2018,11.7,11.63,32.29,32.29,9.69,0.02,11.46,-0.15,0.24,12.0,Aplaya Creations Ltd.,22.6
79,14.38,8.52,3/31/2019,147.13,147.07,119.31,119.31,96.41,0.3,146.81,0.91,0.02,12.0,Aplaya Creations Ltd.,22.9
80,,,,,,,,,,,,,,Ardor International Ltd.,
81,,,,,,,,,,,,,,Ardor International Ltd.,
82,,,,,,,,,,,,,,Ardor International Ltd.,
83,,,,,,,,,,,,,,Ardor International Ltd.,
84,,,,,,,,,,,,,,Ardor International Ltd.,
85,42.5,23.36,3/31/2011,902.14,891.21,329.34,329.34,189.35,10.93,,-30.58,-17.78,12.0,Ardor International Ltd.,65.86
86,105.0,37.63,3/31/2012,1098.96,1104.17,504.09,504.09,280.96,14.27,,0.75,1.44,12.0,Ardor International Ltd.,142.63
87,145.0,63.71,3/31/2013,1995.06,2122.6,857.5,857.5,517.39,26.08,1989.28,-252.14,-37.08,12.0,Ardor International Ltd.,208.71
88,195.0,96.96,3/31/2014,2867.98,2716.77,981.39,981.39,606.09,33.25,2864.8,-67.65,1.41,12.0,Ardor International Ltd.,291.96
89,215.0,105.4,3/31/2015,3545.7,3577.73,1158.52,1158.52,626.38,8.7,3543.98,-291.56,1.25,12.0,Ardor International Ltd.,320.4
90,,,,,,,,,,,,,,Arihant Cotsyn Ltd.,
91,,,,,,,,,,,,,,Arihant Cotsyn Ltd.,
92,,,,,,,,,,,,,,Arihant Cotsyn Ltd.,
93,8.82,0.45,3/31/1991,3.04,4.82,24.61,24.61,2.79,0.25,2.85,,,12.0,Arihant Cotsyn Ltd.,9.27
94,8.82,1.18,3/31/1992,18.32,17.46,42.19,42.19,3.62,0.73,17.07,,,12.0,Arihant Cotsyn Ltd.,10.0
95,15.14,4.47,3/31/1994,30.11,28.67,93.22,93.22,3.1,2.05,25.2,,,12.0,Arihant Cotsyn Ltd.,19.61
96,15.14,6.67,3/31/1995,43.1,42.61,107.23,107.23,3.88,2.2,35.69,,,12.0,Arihant Cotsyn Ltd.,21.810000000000002
97,15.14,9.3,3/31/1996,60.47,61.31,124.05,124.05,4.18,2.63,47.5,,,12.0,Arihant Cotsyn Ltd.,24.44
98,27.59,21.05,3/31/1997,64.05,64.54,150.17,150.17,6.31,1.07,50.25,-5.2,4.04,12.0,Arihant Cotsyn Ltd.,48.64
99,27.59,36.85,3/31/1998,58.14,66.57,177.14,177.14,6.66,-9.69,55.22,5.13,-6.54,12.0,Arihant Cotsyn Ltd.,64.44
100,,,,,,,,,,,,,,Arise India Ltd.,
101,,,,,,,,,,,,,,Arise India Ltd.,
102,,,,,,,,,,,,,,Arise India Ltd.,
103,,,,,,,,,,,,,,Arise India Ltd.,
104,,,,,,,,,,,,,,Arise India Ltd.,
105,5.71,46.45,3/31/2011,440.73,465.07,142.94,142.94,83.16,10.03,440.72,,,12.0,Arise India Ltd.,52.160000000000004
106,6.89,93.94,3/31/2012,676.77,731.99,312.3,312.3,199.69,25.02,676.58,,,12.0,Arise India Ltd.,100.83
107,7.82,145.04,3/31/2013,858.26,896.54,431.98,431.98,261.58,33.52,857.69,,,12.0,Arise India Ltd.,152.85999999999999
108,9.07,220.0,3/31/2014,1263.42,1313.47,680.01,680.01,407.21,51.1,1263.21,-79.9,-29.52,12.0,Arise India Ltd.,229.07
109,9.57,308.31,3/31/2015,1569.87,1533.19,870.47,870.47,487.26,63.82,1569.47,5.56,-47.39,12.0,Arise India Ltd.,317.88
110,,,,,,,,,,,,,,Aryan Fine Fab Ltd.,
111,,,,,,,,,,,,,,Aryan Fine Fab Ltd.,
112,3.26,0.8,6/30/1991,3.64,3.18,6.24,6.24,0.58,0.86,3.62,,,15.0,Aryan Fine Fab Ltd.,4.06
113,3.26,2.41,6/30/1992,7.06,4.88,16.46,16.46,1.2,2.17,6.82,,,12.0,Aryan Fine Fab Ltd.,5.67
114,5.5,6.99,12/31/1993,20.22,16.77,31.32,31.32,2.77,5.95,19.72,,,18.0,Aryan Fine Fab Ltd.,12.49
115,10.12,19.25,12/31/1994,24.1,21.59,50.32,50.32,3.71,4.81,23.56,,,12.0,Aryan Fine Fab Ltd.,29.369999999999997
116,13.21,32.4,12/31/1995,42.23,40.39,57.08,57.08,3.61,4.1,41.67,-2.82,-0.11,12.0,Aryan Fine Fab Ltd.,45.61
117,13.29,30.87,3/31/1997,62.75,63.26,59.1,59.1,1.53,0.29,62.44,2.18,-2.09,15.0,Aryan Fine Fab Ltd.,44.16
118,13.29,27.99,3/31/1998,48.98,52.73,64.39,64.39,2.08,-2.88,48.9,2.42,-7.75,12.0,Aryan Fine Fab Ltd.,41.28
119,13.29,9.3,3/31/1999,23.13,34.28,52.25,52.25,3.72,-18.69,23.08,0.91,-3.1,12.0,Aryan Fine Fab Ltd.,22.59
120,,,,,,,,,,,,,,Asia Refinery Ltd.,
121,,,,,,,,,,,,,,Asia Refinery Ltd.,
122,,,,,,,,,,,,,,Asia Refinery Ltd.,
123,,,,,,,,,,,,,,Asia Refinery Ltd.,
124,,,,,,,,,,,,,,Asia Refinery Ltd.,
125,,,,,,,,,,,,,,Asia Refinery Ltd.,
126,,,,,,,,,,,,,,Asia Refinery Ltd.,
127,,,,,,,,,,,,,,Asia Refinery Ltd.,
128,2.3,-0.18,6/30/1995,0.48,0.73,2.92,2.92,0.27,-0.22,0.48,,,12.0,Asia Refinery Ltd.,2.1199999999999997
129,2.51,-0.33,3/31/1996,0.61,0.79,2.93,2.93,0.4,-0.15,0.6,-0.09,-0.04,9.0,Asia Refinery Ltd.,2.1799999999999997
130,,,,,,,,,,,,,,Asian Cables & Inds. Ltd. [Merged],
131,,,,,,,,,,,,,,Asian Cables & Inds. Ltd. [Merged],
132,5.59,13.52,3/31/1989,69.01,66.15,59.63,59.63,8.5,3.22,67.9,,,12.0,Asian Cables & Inds. Ltd. [Merged],19.11
133,5.59,15.16,3/31/1990,82.69,78.41,80.84,80.84,10.74,3.48,80.96,,,12.0,Asian Cables & Inds. Ltd. [Merged],20.75
134,5.59,16.73,3/31/1991,98.37,96.5,99.84,99.84,22.29,3.81,95.97,,,12.0,Asian Cables & Inds. Ltd. [Merged],22.32
135,5.59,17.04,3/31/1992,97.57,96.51,104.64,104.64,19.91,1.92,95.45,,,12.0,Asian Cables & Inds. Ltd. [Merged],22.63
136,5.59,17.73,3/31/1993,101.59,101.17,123.48,123.48,25.17,2.36,98.25,,,12.0,Asian Cables & Inds. Ltd. [Merged],23.32
137,15.64,47.58,3/31/1994,115.12,113.45,178.78,178.78,31.58,3.08,108.62,,,12.0,Asian Cables & Inds. Ltd. [Merged],63.22
138,16.4,56.68,3/31/1995,144.87,146.42,180.58,180.58,28.39,4.87,116.82,-3.96,15.89,12.0,Asian Cables & Inds. Ltd. [Merged],73.08
139,16.4,58.74,3/31/1996,176.6,166.1,208.23,208.23,31.39,5.92,161.07,5.81,-6.1,12.0,Asian Cables & Inds. Ltd. [Merged],75.14
140,,,,,,,,,,,,,,Auro Mira Bio Energy Madurai Ltd.,
141,0.98,,3/31/2004,0.04,0.04,0.98,0.98,,0.0,0.01,,,12.0,Auro Mira Bio Energy Madurai Ltd.,
142,0.98,,3/31/2005,0.02,0.02,1.03,1.03,0.05,0.0,0.01,,,12.0,Auro Mira Bio Energy Madurai Ltd.,
143,0.98,,3/31/2006,,,1.02,1.02,0.04,,,,,12.0,Auro Mira Bio Energy Madurai Ltd.,
144,0.98,,3/31/2007,,,1.88,1.88,0.06,,,,,12.0,Auro Mira Bio Energy Madurai Ltd.,
145,0.98,,3/31/2008,,,17.8,17.8,0.14,,,-0.59,-15.04,12.0,Auro Mira Bio Energy Madurai Ltd.,
146,0.98,,3/31/2009,,,55.34,55.34,3.85,,,3.33,-33.35,12.0,Auro Mira Bio Energy Madurai Ltd.,
147,0.98,5.91,3/31/2010,32.8,26.89,71.46,71.46,8.62,5.91,31.15,7.32,-7.07,12.0,Auro Mira Bio Energy Madurai Ltd.,6.890000000000001
148,0.98,3.77,3/31/2011,43.35,45.49,77.86,77.86,17.65,-2.14,38.79,-2.65,-1.05,12.0,Auro Mira Bio Energy Madurai Ltd.,4.75
149,1.51,14.45,3/31/2012,34.37,39.61,75.92,75.92,26.18,-5.24,32.69,11.33,-6.51,12.0,Auro Mira Bio Energy Madurai Ltd.,15.959999999999999
150,0.48,-14.13,3/31/2012,3.11,3.41,0.31,0.31,0.71,-0.3,2.1,-1.73,1.5,12.0,Automobile Products Of India Ltd.,-13.65
151,0.48,-14.69,3/31/2013,0.56,1.12,0.33,0.33,0.53,-0.56,0.55,-0.73,,12.0,Automobile Products Of India Ltd.,-14.209999999999999
152,0.48,-14.63,3/31/2014,3.88,3.82,3.71,3.71,10.94,0.06,3.79,-0.42,-0.07,12.0,Automobile Products Of India Ltd.,-14.15
153,0.48,-14.59,3/31/2015,2.06,2.19,2.2,2.2,15.31,0.04,2.06,5.31,,12.0,Automobile Products Of India Ltd.,-14.11
154,0.48,-14.41,3/31/2016,2.73,2.43,2.26,2.26,15.64,0.18,2.72,1.28,-0.01,12.0,Automobile Products Of India Ltd.,-13.93
155,0.48,-13.78,3/31/2017,4.44,4.42,4.3,4.3,10.89,0.02,4.43,-5.41,,12.0,Automobile Products Of India Ltd.,-13.299999999999999
156,0.48,-15.11,3/31/2018,2.13,3.42,2.46,2.46,9.64,-1.34,2.12,-0.17,,12.0,Automobile Products Of India Ltd.,-14.629999999999999
157,0.48,-15.54,3/31/2019,1.22,1.65,8.38,8.38,14.92,-0.43,0.44,-0.22,0.04,12.0,Automobile Products Of India Ltd.,-15.059999999999999
158,0.48,-4.58,3/31/2020,16.65,5.69,15.37,15.37,1.85,10.96,0.18,-16.4,16.57,12.0,Automobile Products Of India Ltd.,-4.1
159,0.48,-9.53,3/31/2021,0.53,5.47,10.31,10.31,8.66,-4.94,0.17,-0.73,0.36,12.0,Automobile Products Of India Ltd.,-9.049999999999999
160,25.79,93.55,3/31/1998,119.12,117.51,243.16,243.16,26.46,5.12,115.16,17.78,-14.08,12.0,B P L Engineering Ltd.,119.34
161,25.79,96.34,3/31/1999,148.84,146.3,258.47,258.47,32.31,5.65,145.85,16.5,-14.09,12.0,B P L Engineering Ltd.,122.13
162,25.79,99.82,3/31/2000,185.05,178.67,283.63,283.63,47.77,6.65,182.88,26.08,-16.07,12.0,B P L Engineering Ltd.,125.60999999999999
163,25.79,103.66,3/31/2001,194.37,192.31,294.67,294.67,52.9,6.68,192.23,18.62,-6.02,12.0,B P L Engineering Ltd.,129.45
164,25.79,90.98,3/31/2002,170.09,180.75,277.9,277.9,53.52,-12.67,164.99,34.93,-14.08,12.0,B P L Engineering Ltd.,116.77000000000001
165,25.79,23.61,3/31/2003,159.89,205.64,251.15,251.15,52.54,-44.92,153.8,10.94,1.55,12.0,B P L Engineering Ltd.,49.4
166,25.79,5.01,3/31/2004,134.24,149.12,223.24,223.24,41.38,-18.6,125.25,14.02,-1.44,12.0,B P L Engineering Ltd.,30.799999999999997
167,25.69,-3.84,3/31/2005,81.38,89.98,232.96,232.96,40.59,-8.85,79.11,-7.41,0.31,12.0,B P L Engineering Ltd.,21.85
168,25.69,-45.83,9/30/2006,113.95,155.58,190.49,190.49,28.01,-41.99,109.96,-2.52,1.88,18.0,B P L Engineering Ltd.,-20.139999999999997
169,25.69,-170.76,3/31/2008,41.09,130.16,94.87,94.87,58.95,-91.76,39.61,-3.14,1.1,18.0,B P L Engineering Ltd.,-145.07
170,29.64,87.52,3/31/1996,211.23,215.01,267.84,267.84,54.61,10.11,210.48,2.78,-35.37,12.0,B S Refrigerators Ltd.,117.16
171,29.64,89.44,3/31/1997,236.55,253.63,300.11,300.11,59.25,5.18,235.39,19.12,-22.36,12.0,B S Refrigerators Ltd.,119.08
172,29.64,47.95,9/30/1998,268.72,279.85,266.71,266.71,41.96,-41.49,267.71,34.1,-13.24,18.0,B S Refrigerators Ltd.,77.59
173,29.64,36.32,3/31/1999,73.29,77.4,253.4,253.4,41.38,-11.62,72.74,16.01,0.0,6.0,B S Refrigerators Ltd.,65.96000000000001
174,29.64,24.33,3/31/2000,125.74,135.44,292.36,292.36,50.77,-12.0,125.05,-10.06,-9.38,12.0,B S Refrigerators Ltd.,53.97
175,29.64,37.08,9/30/2001,169.71,199.64,331.46,331.46,63.83,-31.49,169.29,60.96,-40.24,18.0,B S Refrigerators Ltd.,66.72
176,29.64,-78.21,3/31/2003,106.38,211.67,360.61,360.61,161.9,-114.26,106.26,36.81,-45.79,18.0,B S Refrigerators Ltd.,-48.56999999999999
177,29.64,-160.5,3/31/2004,38.72,116.6,289.33,289.33,169.98,-80.3,38.53,5.17,-0.03,12.0,B S Refrigerators Ltd.,-130.86
178,31.44,-214.76,3/31/2005,26.81,79.13,257.39,257.39,175.34,-52.28,2.46,-1.88,0.16,12.0,B S Refrigerators Ltd.,-183.32
179,24.39,-253.91,3/31/2006,2.43,39.49,236.3,236.3,176.21,-37.15,2.19,0.0,0.02,12.0,B S Refrigerators Ltd.,-229.51999999999998
180,14.3,302.29,3/31/2012,629.77,554.47,507.96,507.96,136.16,72.51,599.13,31.35,2.54,12.0,Banco Products (India) Ltd.,316.59000000000003
181,14.3,322.45,3/31/2013,493.88,464.92,561.38,561.38,173.44,34.85,484.27,81.3,-84.4,12.0,Banco Products (India) Ltd.,336.75
182,14.3,376.0,3/31/2014,518.14,445.22,569.62,569.62,145.85,68.3,482.59,88.71,-2.59,12.0,Banco Products (India) Ltd.,390.3
183,14.3,394.72,3/31/2015,468.55,432.11,502.71,502.71,75.77,42.04,456.24,61.2,62.84,12.0,Banco Products (India) Ltd.,409.02000000000004
184,14.3,439.7,3/31/2016,567.81,486.34,556.91,556.91,89.95,82.13,536.24,58.99,30.82,12.0,Banco Products (India) Ltd.,454.0
185,14.3,540.39,3/31/2017,618.58,517.61,629.76,629.76,59.61,109.61,557.37,58.14,-30.58,12.0,Banco Products (India) Ltd.,554.6899999999999
186,14.3,601.08,3/31/2018,701.35,579.38,752.94,752.94,121.72,119.72,631.26,23.75,35.39,12.0,Banco Products (India) Ltd.,615.38
187,14.3,649.22,3/31/2019,828.67,713.16,766.14,766.14,83.28,122.91,735.92,46.63,32.54,12.0,Banco Products (India) Ltd.,663.52
188,14.3,520.53,3/31/2020,644.88,565.85,621.55,621.55,67.11,69.52,597.91,59.05,182.12,12.0,Banco Products (India) Ltd.,534.8299999999999
189,14.3,600.9,3/31/2021,665.94,586.08,736.29,736.29,103.59,80.04,653.52,59.31,-37.71,12.0,Banco Products (India) Ltd.,615.1999999999999
190,,,,,,,,,,,,,,Beacon Software Systems Ltd.,
191,,,,,,,,,,,,,,Beacon Software Systems Ltd.,
192,,,,,,,,,,,,,,Beacon Software Systems Ltd.,
193,,,,,,,,,,,,,,Beacon Software Systems Ltd.,
194,1.6,-1.03,3/31/2002,2.19,3.15,2.31,2.31,0.93,-0.96,2.16,,,12.0,Beacon Software Systems Ltd.,0.5700000000000001
195,1.84,-3.96,3/31/2003,0.59,3.52,0.96,0.96,1.19,-2.93,0.56,,,12.0,Beacon Software Systems Ltd.,-2.12
196,2.33,-4.27,3/31/2005,1.22,1.23,0.45,0.45,0.3,-0.01,0.3,-0.36,-0.03,12.0,Beacon Software Systems Ltd.,-1.9399999999999995
197,2.33,-4.43,3/31/2006,0.46,0.61,0.41,0.41,0.42,-0.15,0.45,0.02,-0.04,12.0,Beacon Software Systems Ltd.,-2.0999999999999996
198,2.33,-4.53,3/31/2007,0.63,0.73,0.3,0.3,0.38,-0.1,0.58,0.03,-0.01,12.0,Beacon Software Systems Ltd.,-2.2
199,2.33,-4.63,3/31/2008,0.78,0.88,0.46,0.46,0.28,-0.1,0.78,-0.19,-0.2,12.0,Beacon Software Systems Ltd.,-2.3
200,,,,,,,,,,,,,,Beta Naphthol Ltd.,
201,0.56,2.59,3/31/1992,18.3,16.75,20.81,20.81,2.32,0.34,18.14,,,12.0,Beta Naphthol Ltd.,3.15
202,5.5,3.67,3/31/1993,26.1,27.58,26.23,26.23,3.32,1.0,26.04,,,12.0,Beta Naphthol Ltd.,9.17
203,5.84,8.91,3/31/1994,35.72,30.05,28.9,28.9,5.11,6.08,35.72,,,12.0,Beta Naphthol Ltd.,14.75
204,5.84,14.48,3/31/1995,52.65,44.91,55.74,55.74,10.25,7.9,52.62,0.79,-8.02,12.0,Beta Naphthol Ltd.,20.32
205,12.46,31.54,3/31/1996,72.71,65.21,122.68,122.68,12.93,8.02,72.71,-4.16,-35.88,12.0,Beta Naphthol Ltd.,44.0
